,index,Tweet,HS,Abusive,HS_Individual,HS_Group,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other
0,6996,Praktek monopoli yang terjadi karena adanya praktek nepotisme hubungan kekerabatan antara Gubernur DKI Ahok dgn lawyer salah satu merk,1,0,1,0,0,0,0,0,1
1,6383,USER USER USER teus maunya? dikit dikit nete gitu?',0,1,0,0,0,0,0,0,0
2,9609,USER kpop e bom ta',0,0,0,0,0,0,0,0,0
3,3989,USER Udah ya... cukup aku meladeni kamu... silahkan ngobrol dng sesama kampret... maaf lho ya.. cebong itu sbnrnya org2 sibuk... perlu meluangkan waktu utk interaksi dng kampret2 pengangguran spt elo',1,1,1,0,0,0,0,0,1
4,10776,pokonya harry next tour harus ke jakarta kalo ga titit nya gua sunat',0,1,0,0,0,0,0,0,0
5,2216,"Dah adzan subuh ni, sholat yuk. \nYg kristen sate yuk'",0,0,0,0,0,0,0,0,0
6,10460,turonggo sila mudo kota kediri menolak berita hoax dan siap mensukseskan pilkada diwilayah kota kedi:,0,0,0,0,0,0,0,0,0
7,324,RT USER Wah hebatnya pak USER.... Yg lg sibuk pencitraan... USER.. USER.. USER ..USER.... BACA NIH,1,0,1,0,0,0,0,0,1
8,1876,"Scroll insta dak Farah ni tetiba terasa mcam cerita '3 idiot'... Gambaq pra matang semua \xf0\x9f\x98\x82""",0,0,0,0,0,0,0,0,0
9,9618,"USER Tai bet lu, Dit'",1,1,1,0,0,0,0,0,1
10,2033,"orang indo kalo ada orang asing bisa/ngomong bahasa indo sering heboh, tapi wajar sih karena bhs indo ga begitu dikenal. ga kebayang kalo orang inggris heboh tiap ada orang asing bisa bahasa inggris'",0,0,0,0,0,0,0,0,0
11,6726,"Sinergitas Dalam Penangulangi Terorisme, BNPT Datangi Polda Bali; ; Dalam rangka menyukseskan Pilkada serentak 2018 dan tahapan Pemilu 2019 di wilayah Provinsi Bali, Badan Nasional Penanggulangan Terorisme (BNPT) datangi...",0,0,0,0,0,0,0,0,0
12,6553,"RT USER: Artis di pilkada Jatim ð???ð???ð???; ; Artis2 ibu kota asal JawaTimur pada kumpul; ; Musim pilkada siap2 artis dangdut ; ; Ikut mendulang suara; ; Siap2 aja ya F, off airmu tambah lagi ; ; #Fildan",0,0,0,0,0,0,0,0,0
13,9592,USER U gataw waktu taun baru dia valik lg tai bgt',0,1,0,0,0,0,0,0,0
14,10257,USER saksinya saksi bisu',0,0,0,0,0,0,0,0,0
15,615,Dikira org katolik coba:(',0,0,0,0,0,0,0,0,0
16,4010,gayanya jokowi pengen kyk orde baru tpi PKI nya malah dibiarin muncul itu mah bukan gaya orde baru reborn,1,0,1,0,0,0,0,0,1
17,12542,USER ya angkot lebih goblog',0,1,0,0,0,0,0,0,0
18,2325,"USER USER Itulah contoh orang yang mau kerja untuk rakyatnya bukan untuk partainya loh.. Untuk rakyatnya... Ada wakil ketua dpr kita yg kerjaanya nyinyir dan nyinyir aja ke pemerintah, bukan kritik tapi nyela.. Coba dpr tugasnya apa? 3 t",0,0,0,0,0,0,0,0,0
19,376,amin smoga kalian bertiga bisa jd menampilkan yang terbaik dan menyumbangan medali buat sumsel,0,0,0,0,0,0,0,0,0
20,7470,USER Nyang nepu jamangah 1.6 triliun itu juga vasti antek jokowi',1,0,0,1,0,0,0,0,1
21,11543,"USER USER #TokohPerubahan adalah mereka yang telah memberikan kontribusi nyata berkelanjutan untuk memajukan suatu masyarakat dalam berbagai bidang, seperti ekonomi, budaya, kesehatan, dan sebagainya.",0,0,0,0,0,0,0,0,0
22,821,"USER Hahahahahah babi migraine aku plak tweet, caring betul dkt babi. Ye lahh hg reply tweet aku lepas keluarkan brim td ni. Good timing'",1,1,1,0,0,0,0,0,1
23,2784,USER USER USER Nih kacung nya aseng bunyi \xf0\x9f\x91\x86',1,1,1,0,0,0,0,0,1
24,6900,RT USER: USER USER Lha...pembunuhan Munir itu di era siapa yak ? Ka bin nya siapa yak ? yg pd pemilihan presiden 2014 jd tim sukses Jkw,1,0,1,0,0,0,0,0,1
25,2022,"USER Imajinasi gue; ada titit yang palanye peyang, ada yg bekas jaitan gak rapi, ada yg bekas luka kejepit resleting, ada yg bengkok. \nMereka pasti menggemaskan \xf0\x9f\x98\x8d'",0,1,0,0,0,0,0,0,0
26,5638,RT USER: Jaga gf nie ibarat kita jaga kebun. Kena tengok selalu kalau tk tengok takut nanti tiba tiba tersodok dek babi. You know b\xe2\x80\xa6',0,1,0,0,0,0,0,0,0
27,9167,"USER USER iyah, rezim suka rame2 susah dah'",0,0,0,0,0,0,0,0,0
28,6775,USER lu kata titit-tititnya lagi tamasya.. tae ah \xf0\x9f\x98\x82',0,1,0,0,0,0,0,0,0
29,329,RT USER USER jongos penista agama ahok sok sok ngong SARA.majikan nya penebar SARA astagfirllah. Tobat,1,1,1,0,0,0,0,0,1
30,6231,"A : idealis, pandai menyimpan rahasia tp sedikit sombong",0,0,0,0,0,0,0,0,0
31,1482,USER Mau tetep dukung Prabowo juga ragu karena elektabilitasnya sudah anjlok. Lagipula Prabowo sudah dua kali maju dan gagal terus. Rakyat sudah bosan. Dia bukan calon yang fresh dan tidak punya peluang menang yang tinggi.,0,0,0,0,0,0,0,0,0
32,8017,kata USER rezim ini anti islam.. bolehkah kita berpendapat fadli zon anti NKRI krn mencoba membenturkan umat islam dgn negara &amp; aparat?,1,0,1,0,0,0,0,0,1
33,9892,USER USER USER USER USER USER Panjang amat artikelnya ? isinya apa?an? #2019GantiPresiden,1,0,1,0,0,0,0,0,1
34,5304,USER Gatau diri anjir. Biasanya nih apa yang kita tanam itu yang kita peroleh. Tiati aje mbaknya',1,1,1,0,0,0,0,0,1
35,9408,"USER Gua kaga pernah ngomong kasar, paling goblok doang'",0,0,0,0,0,0,0,0,0
36,8048,"Dari 26, 48, 65, dan 98; Komunis baru berhasil berkuasa penuh di rezim USER ini.",1,0,1,0,0,0,0,0,1
37,1579,RT USER USER Mungkinkah Sandi dan Anies nyusul sahabat-sahabatnya yg jadi buron dan yg sdh ditangkap itu sebelum dilantik ?,1,0,0,1,0,0,0,0,1
